Karthy +Hidden on 2018/6/20 20:16:52
Count 300: 2112
Count 100: 22
Count 50: 0
Count Geki: 244
Count Katu: 7
Count Miss: 0
Total Score: 184581341
Max Combo: 2636
Is fullcombo: False
Mods: Hidden
3409(3): (311.5555,179.1111) None 0
7578(18): (149.3333,268.4445) K1 2.66670227050781
7597(19): (146.2222,268.4445) K1 3.11109924316406
7612(15): (144,268.4445) K1 2.22219848632813
7628(16): (140.4444,267.1111) K1 3.79739373444919
7642(14): (135.1111,265.7778) K1 5.49743469230204
7646(4): (135.1111,265.7778) K1 0
7662(16): (130.2222,262.6667) K1 5.79485841539326
7678(16): (124.8889,260.8889) K1 5.62180068069124
7696(18): (122.6667,259.5555) K1 2.59153475743948
7713(17): (119.1111,258.2222) K1 3.79737230368258
7728(15): (114.6667,256) K1 4.96898687492682
7746(18): (107.5556,252.8889) K1 7.76187290200919
7762(16): (104.4444,250.6667) K1 3.82331913752477
7778(16): (101.7778,248.8889) K1 3.20488838555886
7796(18): (100.8889,247.5556) K1 1.60244419277943
7812(16): (99.11111,244.4444) K1 3.58331609123422
7828(16): (97.33334,240.4444) K1 4.37726428125807
7846(18): (95.55556,236.8889) K1 3.97518267614997
7861(15): (93.77778,234.2222) K1 3.20496456154737
7878(17): (92.88889,230.2222) K1 4.09757457877682
7896(18): (92.44444,224) K1 6.23805179059455
7905(9): (92.44444,221.7778) K1 2.22219848632813
7912(7): (92,219.5556) K1 2.26620728747362
7928(16): (91.55556,214.6667) K1 4.90906100668453
7942(14): (91.11111,210.6667) K1 4.02461627225204
7947(5): (91.11111,210.6667) K1 0
7962(15): (90.66666,206.6667) K1 4.02461627225204
7979(17): (94.66666,199.5556) K1 8.158905100939
7996(17): (101.3333,194.6667) K1 8.26713106047562
8012(16): (110.6667,190.2222) K1 10.3376038913202
8013(1): (110.6667,190.2222) None 0
8028(15): (120,186.2222) None 10.1543314160679
8045(17): (127.1111,184.4444) None 7.32995979989949
8063(18): (136,184) None 8.90000254686394
8079(16): (141.3333,184.4444) None 5.35178038980605
8097(18): (145.7778,184.8889) None 4.46667633724872
8113(16): (149.7778,185.3333) None 4.02461037484451
8128(15): (152.4444,185.3333) None 2.66659545898438
8147(19): (152.8889,184.8889) None 0.628547757498268
8161(14): (153.3333,184.8889) None 0.44439697265625
8178(17): (154.2222,184.8889) None 0.888900756835938
8196(18): (154.2222,184.8889) None 0
8212(16): (154.2222,184.8889) None 0
8228(16): (154.2222,184.8889) K1 0
8228(0): (154.2222,184.8889) K1 0
8242(14): (154.2222,184.8889) K1 0
8246(4): (154.2222,184.8889) K1 0
8262(16): (154.2222,184.8889) K1 0
8278(16): (156,181.3333) K1 3.97528503507233
8297(19): (158.2222,179.5556) K1 2.84576256330103
8312(15): (162.2222,177.7778) K1 4.37727977424496
8328(16): (167.1111,176) K1 5.20210811423648
8346(18): (172,173.3333) K1 5.56890039502616
8363(17): (177.3333,169.3333) K1 6.66663818362798
8378(15): (180.8889,166.2222) K1 4.72453716133888
8396(18): (184.8889,164) K1 4.5758240910943
8412(16): (189.3333,162.6667) K1 4.64008052581257
8428(16): (197.3333,161.3333) K1 8.11036174717263
8446(18): (201.7778,161.3333) K1 4.44450378417969
8462(16): (204.8889,160.4444) K1 3.23559624432955
8478(16): (208,160.8889) K1 3.14269344909205
8496(18): (210.6667,160.4444) K1 2.70349488878407
8512(16): (212.4444,160.4444) K1 1.77769470214844
8528(16): (215.1111,160.8889) K1 2.70349488878407
8542(14): (218.2222,161.3333) K1 3.14267834340743
8546(4): (218.2222,161.3333) K1 0
8562(16): (223.5556,162.6667) K1 5.49756051973302
8578(16): (229.7778,164.4444) K1 6.47116314562619
8596(18): (231.5556,164) K1 1.83250290349567
8612(16): (232.8889,162.6667) K1 1.88556773172911
8628(16): (233.7778,162.2222) K1 0.993845143698738
8646(18): (236,161.7778) K1 2.26619831037468
8662(16): (240.4444,164) K1 4.96898687492682
8678(16): (244.4444,165.7778) K1 4.37727977424496
8697(19): (249.3333,168) K1 5.37024363719469
8711(14): (254.2222,169.7778) K1 5.20210811423648
8729(18): (261.7778,172.4444) K1 8.01235723421529
8746(17): (267.1111,173.7778) K1 5.49747170078852
8761(15): (272,175.1111) K1 5.06743369453238
8778(17): (275.5555,176.4444) K1 3.79728122234158
8796(18): (278.6667,178.2222) K1 3.58329337966093
8812(16): (281.3333,181.3333) K1 4.09753982283198
8828(16): (284,185.3333) K1 4.80741298605284
8842(14): (285.7778,188.4444) K1 3.5832271380461
8846(4): (285.7778,188.4444) K1 0
8863(17): (288,191.1111) K1 3.47123423470248
8878(15): (289.3333,193.7778) K1 2.98144671665468
8896(18): (291.5555,196.8889) K1 3.82323222070737
8912(16): (293.3333,199.5556) K1 3.20497725757072
8928(16): (296,204) K1 5.18303811186311
8947(19): (298.2222,209.3333) K1 5.77773578350945
8963(16): (299.1111,211.1111) K1 1.98764934152094
8980(17): (299.5555,213.7778) K1 2.70347732907779
8996(16): (300,215.5556) K1 1.83252510793657
9012(16): (300.8889,218.6667) K1 3.23559205238455
9028(16): (302.2222,222.2222) K1 3.79727229276912
9047(19): (303.1111,225.3333) K1 3.23560043634109
9062(15): (303.5555,227.1111) K1 1.83250290349567
9078(16): (304,228.4444) K1 1.40543690170457
9097(19): (304.8889,230.2222) K1 1.9876356936451
9105(8): (304.8889,231.5556) K1 1.33340454101563
9113(8): (305.3333,232) K1 0.62849380536491
9128(15): (305.7778,232.8889) K1 0.993838319198568
9141(13): (306.6667,234.6667) K1 1.9876356936451
9147(6): (306.6667,234.6667) K1 0
9162(15): (306.6667,234.6667) K1 0
9178(16): (306.2222,235.5556) K1 0.993838319198568
9196(18): (304.4445,236.8889) K1 2.22214660647884
9213(17): (301.7778,238.2222) K1 2.98142624492683
9229(16): (296.4445,237.7778) K1 5.35179559589821
9246(17): (283.1111,234.6667) K1 13.6915229740776
9262(16): (272,231.5556) K1 11.5384489415315
9265(3): (272,231.5556) None 0
9279(14): (259.5555,230.6667) None 12.4761949012542
9296(17): (249.7778,230.6667) None 9.7777099609375
9312(16): (240,233.3333) None 10.1348968313762
9328(16): (227.5556,237.7778) None 13.2142585830853
9346(18): (221.3333,240.8889) None 6.95672492775786
9361(15): (216.4444,241.7778) None 4.96905374952762
9378(17): (215.1111,242.6667) None 1.60244419277943
9397(19): (215.1111,242.6667) None 0
9412(15): (215.1111,242.2222) None 0.444503784179688
9428(16): (215.1111,242.2222) None 0
9440(12): (215.1111,242.2222) K1 0
9446(6): (215.1111,242.2222) K1 0
9462(16): (215.1111,241.7778) K1 0.44439697265625
9478(16): (213.7778,233.3333) K1 8.54911264380661
9497(19): (213.7778,224.8889) K1 8.44439697265625
9513(16): (214.6667,213.3333) None 11.5897414069969
9528(15): (218.6667,199.5556) None 14.3465979000462
9547(19): (227.5556,187.1111) None 15.2930778818177
9562(15): (251.1111,177.3333) None 25.5042507126614
9578(16): (271.5555,177.3333) None 20.4444122314453
9596(18): (292.8889,183.5556) None 22.2222845460036
9612(16): (311.5555,195.5556) None 22.1910550751621
9628(16): (327.5555,220.8889) None 29.9629099696791
9646(18): (326.6667,242.2222) None 21.3518055662979
9662(16): (319.1111,259.5555) None 18.9084746899385
9678(16): (306.2222,271.1111) None 17.3105781932144
9697(19): (284,273.3333) None 22.3330309559272
9713(16): (268,267.5555) None 17.011260692006
9728(15): (251.5556,257.3333) None 19.3626324059565
9746(18): (236.4444,243.5556) None 20.4492992592641
9762(16): (223.5556,224.8889) None 22.6840645172003
9779(17): (209.7778,203.1111) None 25.7701465521449
9796(17): (205.7778,192.8889) None 10.9769459274376
9813(17): (206.6667,184.4444) None 8.49115944477128
9829(16): (211.1111,177.3333) None 8.38572578234493
9846(17): (219.1111,167.1111) None 12.9804985225487
9862(16): (224.8889,160.4444) None 8.82201278025503
9879(17): (232,156) None 8.38572578234493
9896(17): (242.2222,156) None 10.2221984863281
9912(16): (255.1111,160.4444) None 13.6336505445212
9929(17): (274.6667,169.3333) None 21.4810048563498
9947(18): (281.7778,170.2222) None 7.16645616852511
9962(15): (285.3333,168.8889) None 3.79728122234158
9978(16): (288,167.1111) None 3.20496456150197
