Rafis +None on 8/20/2017 5:28:19 PM
Count 300: 2102
Count 100: 31
Count 50: 0
Count Geki: 233
Count Katu: 17
Count Miss: 1
Total Score: 165637440
Max Combo: 2555
Is fullcombo: False
Mods: None
20(0): (148.8889,216) None 0
6941(19): (246.2222,219.5556) K2 7.02730996016492
6955(14): (244.4444,224) K2 4.78677790090266
6972(17): (242.6667,228.4444) K2 4.78673823230419
6991(19): (240.8889,233.3333) K2 5.20210811423648
7002(11): (239.5556,236.4444) K2 3.38476311376218
7023(21): (238.6667,237.7778) K2 1.60253306533893
7041(18): (237.3333,240.4444) K2 2.98139212648675
7042(1): (237.3333,240.4444) K2 0
7054(12): (236,241.7778) K2 1.88564326039421
7072(18): (235.5556,243.1111) K2 1.40540794959153
7091(19): (234.2222,245.7778) K2 2.98148766046962
7104(13): (233.3333,247.1111) K2 1.60244419277943
7122(18): (232.4444,249.3333) K2 2.39338895045133
7141(19): (230.6667,250.2222) K2 1.9875469829793
7154(13): (229.3333,251.5556) K2 1.88571878603417
7172(18): (226.6667,251.5556) K2 2.66659545898438
7191(19): (220.4444,251.5556) K2 6.22230529785156
7205(14): (215.1111,251.5556) K2 5.33329772949219
7222(17): (209.7778,251.5556) K2 5.33329772949219
7241(19): (204,251.5556) K2 5.77780151367188
7255(14): (201.3333,251.5556) K2 2.66670227050781
7272(17): (198.6667,251.5556) K2 2.66659545898438
7291(19): (196,251.5556) K2 2.66670227050781
7304(13): (193.3333,253.3333) K2 3.20491801042993
7322(18): (190.2222,254.2222) K2 3.23559624432955
7341(19): (185.7778,257.7778) K2 5.69165857537257
7342(1): (185.7778,257.7778) K2 0
7354(12): (183.1111,258.6667) K2 2.81094618023355
7372(18): (182.2222,259.1111) K2 0.993811023072057
7391(19): (181.7778,259.1111) K2 0.44439697265625
7405(14): (181.7778,259.1111) K2 0
7422(17): (181.7778,259.1111) K2 0
7441(19): (181.3333,259.1111) K2 0.444503784179688
7455(14): (180.4444,258.6667) K2 0.993811023072057
7472(17): (179.5556,258.6667) K2 0.8887939453125
7491(19): (176.4444,258.6667) K2 3.1112060546875
7505(14): (173.7778,258.6667) K2 2.66659545898438
7522(17): (170.2222,258.6667) K2 3.55560302734375
7541(19): (166.6667,258.6667) K2 3.55549621582031
7554(13): (164,255.5556) K2 4.09757788911524
7572(18): (163.1111,252) K2 3.66503171112605
7591(19): (162.6667,249.7778) K2 2.26619831037468
7604(13): (160.8889,249.3333) K2 1.83252880909525
7623(19): (157.3333,248.8889) K2 3.58326688335687
7641(18): (151.5556,248.8889) K2 5.77769470214844
7642(1): (151.5556,248.8889) K2 0
7655(13): (149.7778,248.8889) K2 1.77780151367188
7672(17): (148.4444,248) K2 1.60253306533893
7691(19): (147.1111,246.2222) K2 2.22221984904353
7705(14): (145.7778,245.3333) K2 1.60244419277943
7722(17): (144,244.8889) K2 1.83250290349567
7741(19): (142.6667,244.8889) K2 1.33329772949219
7755(14): (140.8889,244) K2 1.98764251753617
7772(17): (139.1111,241.7778) K2 2.84582928768628
7791(19): (136,235.5556) K2 6.95662939246299
7805(14): (132.8889,229.7778) K2 6.56215885453903
7822(17): (128.8889,225.3333) K2 5.97943257237571
7841(19): (123.5556,222.6667) K2 5.96278425010352
7855(14): (121.3333,221.7778) K2 2.39348812246116
7872(17): (120.4444,220.4444) K2 1.60253306533893
7891(19): (120,219.5556) K2 0.99370183985449
7905(14): (120,218.6667) K2 0.888900756835938
7906(1): (120,218.6667) K2 0
7922(16): (120.8889,218.6667) K2 0.888900756835938
7941(19): (124,218.6667) K2 3.11109924316406
7942(1): (124,218.6667) K2 0
7955(13): (126.2222,219.1111) K2 2.26619831037468
7972(17): (128.4444,219.1111) K2 2.22219848632813
7991(19): (131.1111,219.5556) K2 2.70349488878407
8005(14): (134.6667,219.5556) K2 3.55560302734375
8022(17): (137.3333,219.5556) K2 2.66659545898438
8041(19): (140.8889,218.2222) K2 3.79740445015502
8056(15): (145.7778,215.5556) K2 5.56884924845942
8072(16): (151.5556,210.6667) K2 7.5686419483009
8082(10): (156.8889,204.4444) None 8.19519053415344
8091(9): (158.6667,201.7778) None 3.20488838555886
8107(16): (160,197.7778) None 4.21635895476998
8122(15): (160.8889,195.5556) None 2.39338895045133
8141(19): (161.3333,193.7778) None 1.83250290349567
8155(14): (161.7778,192.4444) None 1.40554305666925
8172(17): (162.2222,191.1111) None 1.40540794959153
8191(19): (162.2222,190.2222) None 0.888900756835938
8205(14): (162.2222,189.7778) None 0.44439697265625
8222(17): (162.2222,189.3333) None 0.444503784179688
8223(1): (162.2222,189.3333) K1 0 Slider at 8242ms HIT at 8223ms (-19ms error, 0.217959929250356 perfectness)
8241(18): (162.2222,188.8889) K1 0.44439697265625
8242(1): (162.2222,188.8889) K1 0
8255(13): (162.2222,188.4444) K1 0.444503784179688
8272(17): (163.5556,188) K1 1.40550928111739
8291(19): (167.5556,187.1111) K1 4.09757788888796
8306(15): (171.1111,185.3333) K1 3.97518950022846
8322(16): (175.1111,182.6667) K1 4.80736220206842
8341(19): (179.1111,179.1111) K1 5.35185135145363
8355(14): (181.7778,176) K1 4.09758947435532
8372(17): (184,173.3333) K1 3.47123423470248
8391(19): (188.8889,172.8889) K1 4.90905686252431
8406(15): (194.2222,172.8889) K1 5.33329772949219
8422(16): (200.8889,172.4444) K1 6.68150452950113
8441(19): (212.8889,169.3333) K1 12.3967309602498
8454(13): (220.8889,167.1111) K1 8.30290106605149
8472(18): (226.2222,166.2222) K1 5.40686685862617
8491(19): (228,165.7778) K1 1.83250290349567
8506(15): (228,165.7778) K1 0
8522(16): (228,165.7778) K1 0
8541(19): (229.3333,165.3333) K1 1.40544172757859
8542(1): (229.3333,165.3333) K1 0
8556(14): (232,164.4444) K1 2.81095100544905
8572(16): (234.6667,164) K1 2.70347732907779
8591(19): (236.4444,164) K1 1.77769470214844
8606(15): (236.8889,164.4444) K1 0.628547757498268
8623(17): (237.7778,164.4444) K1 0.888900756835938
8641(18): (238.6667,164.4444) K1 0.888900756835938
8655(14): (240.8889,164.4444) K1 2.22219848632813
8672(17): (244,164.4444) K1 3.11109924316406
8691(19): (248,164.4444) K1 4
8705(14): (249.3333,164.8889) K1 1.40544172757859
8722(17): (251.1111,165.3333) K1 1.83250290349567
8742(20): (254.6667,165.7778) K1 3.58328013169583
8755(13): (258.2222,165.7778) K1 3.55549621582031
8772(17): (262.2222,165.7778) K1 4
8791(19): (265.7778,165.7778) K1 3.55560302734375
8805(14): (267.1111,165.7778) K1 1.33331298828125
8823(18): (268,166.2222) K1 0.993783727952959
8841(18): (271.5555,168.4444) K1 4.1928305425712
8842(1): (271.5555,168.4444) K1 0
8856(14): (276,170.2222) K1 4.78686290532149
8872(16): (281.3333,172.4444) K1 5.77774986855683
8891(19): (284,176) K1 4.44449462892301
8905(14): (287.1111,179.1111) K1 4.39976953317774
8922(17): (288.8889,180.8889) K1 2.51416943274835
8941(19): (292.8889,183.1111) K1 4.5758240910943
8956(15): (298.2222,186.2222) K1 6.1743959973252
8972(16): (303.1111,189.3333) K1 5.7948630966271
8991(19): (306.6667,193.7778) K1 5.69172291663856
9006(15): (307.1111,196) K1 2.26620429500851
9022(16): (308,199.1111) K1 3.23559205238455
9041(19): (312.4445,204.4444) K1 6.94244502489832
9056(15): (320.4445,215.5556) K1 13.6915630951957
9073(17): (323.5555,221.7778) K1 6.95659527310808
9091(18): (324.4445,225.7778) K1 4.09759444025586
9102(11): (324.4445,228) K1 2.22219848632813
9105(3): (324.4445,228) K1 0
9122(17): (324.8889,229.3333) K1 1.40540794959153
9141(19): (325.7778,234.6667) K1 5.40697472538579
9141(0): (325.7778,234.6667) K1 0
9154(13): (326.2222,239.5556) K1 4.90905686252431
9172(18): (326.2222,243.5556) K1 4
9191(19): (324.4445,247.1111) K1 3.97514855646037
9204(13): (320.8889,251.5556) K1 5.69174198076859
9222(18): (317.3333,252.8889) K1 3.7973383715005
9230(8): (314.6667,252.8889) None 2.6666259765625
9241(11): (312,253.3333) None 2.70346227785326
9255(14): (303.5555,253.3333) None 8.44448852539063
9272(17): (292.4445,254.2222) None 11.146523024404
9291(19): (272,253.7778) None 20.4493178305325
9305(14): (259.5555,250.6667) None 12.8274796105624
9322(17): (248.4444,247.5556) None 11.5384489415315
9342(20): (235.5556,244.8889) None 13.1617745902388
9355(13): (231.5556,244.8889) None 4
9372(17): (229.7778,244.8889) None 1.77780151367188
9391(19): (229.3333,245.7778) None 0.993845143698738
9405(14): (229.7778,246.6667) None 0.993845143698738
9422(17): (230.6667,247.5556) None 1.25709550592109
9441(19): (232,249.3333) None 2.22213439951675
9456(15): (232.8889,249.7778) None 0.993845143698738
9462(6): (233.7778,250.2222) K1 0.993797376133356 Circle at 9442ms HIT at 9462ms (20ms error, 0.437169699427577 perfectness)
9472(10): (234.2222,250.6667) K1 0.628547757498268
9482(10): (235.5556,252.8889) None 2.59155045921165
9491(9): (236.8889,254.2222) None 1.88556773172911
9506(15): (241.3333,258.6667) None 6.2853912131931
9522(16): (248.8889,262.6667) None 8.54910153798667
9541(19): (261.7778,266.6667) None 13.4953237352635
9556(15): (280.4445,269.3333) None 18.856195217815
9572(16): (316.4445,264.8889) None 36.2733088608684
9591(19): (341.7778,252.8889) None 28.0317031368327
9606(15): (361.3333,230.6667) None 29.6014211584401
9622(16): (374.2222,198.2222) None 34.9108750274669
9641(19): (378.6667,163.5556) None 34.9503407561243
9654(13): (363.5555,128) None 38.6335156664701
9672(18): (335.5555,112.4444) None 32.0308723818804
9691(19): (296,101.7778) None 40.9684603897142
9705(14): (247.5556,105.7778) None 48.6092542428323
9722(17): (206.6667,140.8889) None 53.8951899075019
9741(19): (192.4444,219.5556) None 79.9420040660854
9755(14): (206.2222,261.3333) None 43.9909634371692
9772(17): (235.5556,292.8889) None 43.0836718303576
9791(19): (304.4445,307.1111) None 70.3416686111622
9805(14): (349.7778,288) None 49.1969914120796
9822(17): (380.4445,252) None 47.2910741290016
9841(19): (392.4445,200) None 53.3666562565053
